id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Unnamed: 0,genre_ids,popularity,title,vote_average,vote_count,weighted_rating
37,1995-11-22,Toy Story,30000000,191796233,364545516,3,"Animation, Comedy, Family",28.005,Toy Story,7.9,10174,7.672400506913228
71,1995-11-22,Casino,52000000,42438300,110400000,3,"Animation, Comedy, Family",28.005,Toy Story,7.9,10174,7.672400506913228
58,1995-11-22,Money Train,68000000,35324232,77224232,3,"Animation, Comedy, Family",28.005,Toy Story,7.9,10174,7.672400506913228
57,2013-05-23,The Hangover 3,103000000,112200072,362000072,7897,Comedy,18.519,The Hangover Part III,6.1,5130,6.395400280206012
42,2011-06-03,X-Men: First Class,160000000,146408305,355408305,3672,"Action, Science Fiction, Adventure",1.4469999999999998,X-Men: First Class,7.2,8211,7.119864800470508
57,2011-06-03,Beginners,3200000,5790894,14314407,3672,"Action, Science Fiction, Adventure",1.4469999999999998,X-Men: First Class,7.2,8211,7.119864800470508
9,2011-06-03,Submarine,1900000,467602,4581937,3672,"Action, Science Fiction, Adventure",1.4469999999999998,X-Men: First Class,7.2,8211,7.119864800470508
12,2011-06-03,The Lion of Judah,1500000,0,0,3672,"Action, Science Fiction, Adventure",1.4469999999999998,X-Men: First Class,7.2,8211,7.119864800470508
60,2014-12-19,Night at the Museum: Secret of the Tomb,127000000,113746621,353756621,11026,"History, Drama, Thriller, War",33.078,The Imitation Game,8.1,10396,7.831382821594123
60,2014-12-19,Night at the Museum: Secret of the Tomb,127000000,113746621,353756621,11050,"Adventure, Comedy, Fantasy, Family",20.064,Night at the Museum: Secret of the Tomb,6.1,3536,6.467442515005335
89,2014-12-19,Annie,65000000,85911262,139829625,11026,"History, Drama, Thriller, War",33.078,The Imitation Game,8.1,10396,7.831382821594123
89,2014-12-19,Annie,65000000,85911262,139829625,11050,"Adventure, Comedy, Fantasy, Family",20.064,Night at the Museum: Secret of the Tomb,6.1,3536,6.467442515005335
18,2014-12-19,Mr. Turner,14000000,3958546,25187026,11026,"History, Drama, Thriller, War",33.078,The Imitation Game,8.1,10396,7.831382821594123
18,2014-12-19,Mr. Turner,14000000,3958546,25187026,11050,"Adventure, Comedy, Fantasy, Family",20.064,Night at the Museum: Secret of the Tomb,6.1,3536,6.467442515005335
77,2016-05-20,The Angry Birds Movie,73000000,107509366,352327887,17474,"Comedy, Crime, Mystery",13.743,The Nice Guys,7.1,4272,7.0177123594712425
56,2016-05-20,Neighbors 2: Sorority Rising,35000000,55340730,108757621,17474,"Comedy, Crime, Mystery",13.743,The Nice Guys,7.1,4272,7.0177123594712425
56,2016-05-20,The Nice Guys,50000000,36261763,59596747,17474,"Comedy, Crime, Mystery",13.743,The Nice Guys,7.1,4272,7.0177123594712425
70,2013-05-10,The Great Gatsby,190000000,144840419,351040419,7924,"Drama, Romance",15.397,The Great Gatsby,7.4,7120,7.251937181627952
98,2013-05-10,Peeples,11000000,9177065,9307166,7924,"Drama, Romance",15.397,The Great Gatsby,7.4,7120,7.251937181627952
88,2016-07-01,The Legend of Tarzan,180000000,126643061,348902025,17460,"Action, Adventure",14.797,The Legend of Tarzan,5.8,4102,6.264883733888322
17,2016-07-01,The BFG,140000000,55483770,199646680,17460,"Action, Adventure",14.797,The Legend of Tarzan,5.8,4102,6.264883733888322
42,2016-07-01,The Purge: Election Year,10000000,79042440,118514727,17460,"Action, Adventure",14.797,The Legend of Tarzan,5.8,4102,6.264883733888322
60,2014-09-19,The Maze Runner,34000000,102427862,348319861,11023,"Action, Mystery, Science Fiction, Thriller",36.955,The Maze Runner,7.1,10626,7.056084271104862
67,2014-09-19,A Walk Among the Tombstones,28000000,26017685,62108587,11023,"Action, Mystery, Science Fiction, Thriller",36.955,The Maze Runner,7.1,10626,7.056084271104862
57,2014-09-19,This is Where I Leave You,20000000,34296320,41296320,11023,"Action, Mystery, Science Fiction, Thriller",36.955,The Maze Runner,7.1,10626,7.056084271104862
