Movie ID,Primary Title,Movie Length,Genres,Average Rating,Num of Votes,Primary Name,Position
tt5286444,Neerja,122.0,"Biography,Drama,Thriller",7.7,18420,Shabana Azmi,actress
tt1440266,Pina,103.0,"Documentary,Music",7.7,13501,Wim Wenders,director
tt5461944,Hotel Mumbai,123.0,"Drama,History,Thriller",7.7,9902,John Collee,writer
tt2980516,The Theory of Everything,123.0,"Biography,Drama,Romance",7.7,361534,Tim Bevan,producer
tt1045658,Silver Linings Playbook,122.0,"Comedy,Drama,Romance",7.7,621018,Robert De Niro,actor
tt3896198,Guardians of the Galaxy Vol. 2,136.0,"Action,Adventure,Comedy",7.7,482917,Vin Diesel,actor
tt1942884,Indie Game: The Movie,103.0,"Documentary,Drama",7.7,19538,Lisanne Pajot,director
tt1772341,Wreck-It Ralph,101.0,"Adventure,Animation,Comedy",7.7,344496,John C. Reilly,actor
tt7668870,Searching,102.0,"Drama,Mystery,Thriller",7.7,97991,Debra Messing,actress
tt0926084,Harry Potter and the Deathly Hallows: Part 1,146.0,"Adventure,Fantasy,Mystery",7.7,425530,Alexandre Desplat,composer
tt3829920,Only the Brave,134.0,"Action,Biography,Drama",7.7,45482,Jennifer Connelly,actress
tt7048622,The Insult,113.0,"Crime,Drama,Thriller",7.7,11168,Rachid Bouchareb,producer
