genre_ids,popularity,release_date,title,vote_average,vote_count
Horror,11.179,2011-12-27,Hostel: Part III,5.0,513
"Animation, Family",11.147,2011-07-14,Winnie the Pooh,6.9,444
"Comedy, Romance",11.138,2011-12-09,New Year's Eve,5.8,1301
"Drama, Music",11.022,2000-09-15,Almost Famous,7.5,1339
"Adventure, Comedy, Romance",11.017000000000001,2011-07-01,Monte Carlo,6.2,1193
"Drama, Thriller, Mystery",10.831,2011-12-09,Tinker Tailor Soldier Spy,6.7,1402
"Comedy, Romance, Family",10.764000000000001,2011-07-08,Zookeeper,5.3,886
"Comedy, Drama, Family, TV Movie",10.752,2011-11-11,Geek Charming,6.2,405
"Horror, Action, Thriller, Science Fiction",10.73,2011-12-25,The Darkest Hour,4.9,735
"Comedy, Drama",10.705,1982-08-13,Fast Times at Ridgemont High,6.9,563
"Drama, Family",10.679,2011-09-23,Dolphin Tale,6.8,327
"Action, Thriller, Crime, Drama",10.584000000000001,2011-08-26,Colombiana,6.5,1371
"Action, Adventure, Crime, Thriller",10.579,1995-10-06,Assassins,6.2,666
"Adventure, Fantasy",10.542,1986-04-18,Legend,6.2,509
"Animation, Comedy, Adventure, Family",10.477,2011-11-15,Dragons: Gift of the Night Fury,7.0,189
"Comedy, Drama",10.444,2011-11-18,The Descendants,6.8,1522
"Comedy, Romance",10.390999999999998,2011-09-30,What's Your Number?,6.4,1271
